Away Team,Away Spread,Home Spread,Home Team,Game Date
SF,21.00,13.00,SEA,WEEK15
IND,36.00,39.00,MIN,WEEK15
BAL,3.00,13.00,CLE,WEEK15
MIA,29.00,32.00,BUF,WEEK15
PIT,24.00,16.00,CAR,WEEK15
PHI,25.00,20.00,CHI,WEEK15
KC,30.00,24.00,HOU,WEEK15
DAL,34.00,40.00,JAX,WEEK15
ATL,18.00,21.00,NO,WEEK15
DET,20.00,17.00,NYJ,WEEK15
ARI,15.00,24.00,DEN,WEEK15
NE,24.00,30.00,LV,WEEK15
TEN,14.00,17.00,LAC,WEEK15
CIN,34.00,23.00,TB,WEEK15
NYG,20.00,12.00,WAS,WEEK15
LA,12.00,24.00,GB,WEEK15
