Away Team,Away Spread,Home Spread,Home Team,Game Date
BUF,31.00,10.00,LA,WEEK1
NO,27.00,26.00,ATL,WEEK1
CLE,26.00,24.00,CAR,WEEK1
SF,10.00,19.00,CHI,WEEK1
PIT,23.00,20.00,CIN,WEEK1
PHI,38.00,35.00,DET,WEEK1
IND,20.00,20.00,HOU,WEEK1
NE,7.00,20.00,MIA,WEEK1
BAL,24.00,9.00,NYJ,WEEK1
JAX,22.00,28.00,WAS,WEEK1
KC,44.00,21.00,ARI,WEEK1
LV,19.00,24.00,LAC,WEEK1
GB,7.00,23.00,MIN,WEEK1
NYG,21.00,20.00,TEN,WEEK1
TB,19.00,3.00,DAL,WEEK1
DEN,16.00,17.00,SEA,WEEK1
