Away Team,Away Spread,Home Spread,Home Team,Game Date
WAS,12.00,7.00,CHI,WEEK6
SF,14.00,28.00,ATL,WEEK6
NE,38.00,15.00,CLE,WEEK6
NYJ,27.00,10.00,GB,WEEK6
JAX,27.00,34.00,IND,WEEK6
MIN,24.00,16.00,MIA,WEEK6
CIN,30.00,26.00,NO,WEEK6
BAL,20.00,24.00,NYG,WEEK6
TB,18.00,20.00,PIT,WEEK6
CAR,10.00,24.00,LA,WEEK6
ARI,9.00,19.00,SEA,WEEK6
BUF,24.00,20.00,KC,WEEK6
DAL,17.00,26.00,PHI,WEEK6
DEN,16.00,19.00,LAC,WEEK6
