Game Date_picks,Home Team_picks,Away Team_picks,Game Pick,Game Key,Game Date,Home Team,Home Score,Away Score,Away Team,Home Line Close,Away Line Close,Home Odds Close,Away Odds Close,Margin,ATS Win/Loss,ML Win/Loss,Wager,ATS Payout,ML Payout,Weekly ATS Payout,Weekly ML Payout,Total Payout
WEEK5,MIN,CHI,MIN,MINCHI,WEEK5,MIN,29.00,22.00,CHI,-8.50,8.50,1.25,4.10,-7.00,0,1,100,-100.00,25.00,-110.00,91.00,-19.00
WEEK5,KC,LV,KC,KCLV,WEEK5,KC,30.00,29.00,LV,-7.00,7.00,1.28,3.75,-1.00,0,1,100,-100.00,28.00,-110.00,91.00,-19.00
WEEK5,CAR,SF,SF,CARSF,WEEK5,CAR,15.00,37.00,SF,6.00,-6.00,3.15,1.38,22.00,1,1,100,90.00,38.00,-110.00,91.00,-19.00
