Game Date,Home Team,Home Spread,Away Team,Away Spread,OVR,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,OPP OVR,OPP OFF,OPP PASS,OPP PBLK,OPP RECV,OPP RUN,OPP RBLK,OPP DEF,OPP RDEF,OPP TACK,OPP PRSH,OPP COV,Overall Adv,Offense Adv,Passing Adv,Pass Block Adv,Receving Adv,Running Adv,Run Block Adv,Defense Adv,Run Defense Adv,Tackling Adv,Pass Rush Adv,Coverage Adv,Game Pick
WEEK14,SF,35.0,TB,7.0,93.1,82.4,73.6,74.4,88.0,82.6,66.9,84.8,74.4,90.0,76.4,91.5,77.0,71.8,75.8,75.0,72.3,63.8,53.9,67.6,57.8,53.0,64.3,80.7,16.099999999999994,14.800000000000011,1.0999999999999943,10.100000000000009,7.299999999999997,24.799999999999997,9.100000000000009,13.0,15.550000000000011,21.950000000000003,1.0,17.849999999999994,SF
WEEK14,DET,34.0,MIN,23.0,81.0,79.0,71.7,63.4,80.9,84.2,68.8,60.4,55.5,62.8,71.2,48.8,92.5,81.6,77.3,66.6,82.0,79.4,74.5,81.1,85.4,85.5,75.2,71.3,-11.5,-2.0999999999999943,-1.5499999999999972,-11.800000000000004,9.600000000000009,-1.2000000000000028,-16.60000000000001,-21.199999999999996,-21.450000000000003,-17.900000000000006,-0.7499999999999858,-25.5,MIN
WEEK14,DEN,28.0,KC,34.0,75.9,66.3,61.0,66.9,65.9,77.3,59.4,76.2,71.5,52.0,66.4,89.3,93.2,85.5,90.0,73.6,83.1,79.3,72.5,79.3,63.6,52.9,75.3,89.8,-17.299999999999997,-13.0,-21.549999999999997,-8.399999999999991,-23.89999999999999,13.699999999999996,-4.200000000000003,-9.299999999999997,-4.400000000000006,-29.19999999999999,-15.399999999999991,10.950000000000003,KC
WEEK14,NYG,22.0,PHI,48.0,68.6,69.8,65.7,62.0,68.4,90.0,60.9,54.5,41.7,71.7,68.8,53.3,93.7,85.0,80.7,84.9,80.4,85.9,76.5,85.9,67.9,55.9,90.1,89.2,-25.10000000000001,-16.10000000000001,-23.950000000000003,-28.099999999999994,-20.799999999999997,22.099999999999994,-7.000000000000007,-30.5,-39.5,-11.450000000000003,-14.000000000000014,-29.35000000000001,PHI
