Game Date,Home Team,Home Spread,Away Team,Away Spread,OVR,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,OPP OVR,OPP OFF,OPP PASS,OPP PBLK,OPP RECV,OPP RUN,OPP RBLK,OPP DEF,OPP RDEF,OPP TACK,OPP PRSH,OPP COV,Overall Adv,Offense Adv,Passing Adv,Pass Block Adv,Receving Adv,Running Adv,Run Block Adv,Defense Adv,Run Defense Adv,Tackling Adv,Pass Rush Adv,Coverage Adv,Game Pick
WEEK3,MIN,28.0,DET,24.0,92.5,81.6,77.3,66.6,82.0,79.4,74.5,81.1,85.4,85.5,75.2,71.3,81.0,79.0,71.7,63.4,80.9,84.2,68.8,60.4,55.5,62.8,71.2,48.8,11.5,21.199999999999996,17.299999999999997,-4.6000000000000085,33.2,23.900000000000006,19.0,2.0999999999999943,8.900000000000006,2.9499999999999886,7.650000000000006,-0.8500000000000085,MIN
WEEK3,WAS,8.0,PHI,24.0,77.0,67.6,53.4,61.7,75.1,77.2,55.6,73.8,60.1,68.0,71.9,83.1,93.7,85.0,80.7,84.9,80.4,85.9,76.5,85.9,67.9,55.9,90.1,89.2,-16.700000000000003,-18.30000000000001,-36.25000000000001,-28.39999999999999,-14.100000000000009,9.299999999999997,-12.300000000000004,-11.200000000000003,-21.1,-15.150000000000006,-10.900000000000006,0.44999999999998863,PHI
WEEK3,NYG,16.0,DAL,23.0,68.6,69.8,65.7,62.0,68.4,90.0,60.9,54.5,41.7,71.7,68.8,53.3,85.4,75.2,64.9,69.6,75.8,88.0,63.0,75.1,60.7,83.2,84.5,79.2,-16.80000000000001,-5.299999999999997,-16.14999999999999,-22.5,-10.799999999999997,29.299999999999997,0.19999999999999574,-20.700000000000003,-33.8,-10.200000000000003,1.5499999999999972,-19.39999999999999,DAL
WEEK3,DEN,11.0,SF,10.0,75.9,66.3,61.0,66.9,65.9,77.3,59.4,76.2,71.5,52.0,66.4,89.3,93.1,82.4,73.6,74.4,88.0,82.6,66.9,84.8,74.4,90.0,76.4,91.5,-17.19999999999999,-18.5,-22.950000000000003,-9.5,-25.599999999999994,2.8999999999999915,-15.000000000000007,-6.200000000000003,-3.25,-33.3,-7.599999999999994,8.099999999999994,SF
WEEK3,IND,20.0,KC,17.0,74.1,65.5,58.0,62.9,66.5,71.9,62.0,71.3,69.2,68.8,62.5,76.2,93.2,85.5,90.0,73.6,83.1,79.3,72.5,79.3,63.6,52.9,75.3,89.8,-19.10000000000001,-13.799999999999997,-24.549999999999997,-12.399999999999999,-23.299999999999997,8.300000000000004,-1.6000000000000014,-14.200000000000003,-6.700000000000003,-12.399999999999991,-19.299999999999997,-2.1499999999999915,KC
