Game Date,Home Team,Home Spread,Away Team,Away Spread,OVR,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,OPP OVR,OPP OFF,OPP PASS,OPP PBLK,OPP RECV,OPP RUN,OPP RBLK,OPP DEF,OPP RDEF,OPP TACK,OPP PRSH,OPP COV,Overall Adv,Offense Adv,Passing Adv,Pass Block Adv,Receving Adv,Running Adv,Run Block Adv,Defense Adv,Run Defense Adv,Tackling Adv,Pass Rush Adv,Coverage Adv,Game Pick
WEEK13,PHI,35.0,TEN,10.0,93.7,85.0,80.7,84.9,80.4,85.9,76.5,85.9,67.9,55.9,90.1,89.2,79.9,69.5,64.7,52.4,69.5,90.3,62.3,75.4,82.0,55.4,71.8,70.1,13.799999999999997,9.599999999999994,9.750000000000014,13.100000000000009,10.300000000000011,3.9000000000000057,-5.5,16.400000000000006,-8.399999999999991,-24.000000000000007,31.549999999999997,28.25,PHI
WEEK13,MIN,27.0,NYJ,22.0,92.5,81.6,77.3,66.6,82.0,79.4,74.5,81.1,85.4,85.5,75.2,71.3,79.1,62.9,47.6,59.2,71.4,77.2,52.0,85.3,74.0,51.0,81.6,89.7,13.400000000000006,-3.700000000000003,-8.350000000000009,-15.0,-7.700000000000003,5.400000000000006,0.5,18.199999999999996,20.80000000000001,11.199999999999989,21.799999999999997,5.999999999999986,MIN
WEEK13,DAL,54.0,IND,19.0,85.4,75.2,64.9,69.6,75.8,88.0,63.0,75.1,60.7,83.2,84.5,79.2,74.1,65.5,58.0,62.9,66.5,71.9,62.0,71.3,69.2,68.8,62.5,76.2,11.300000000000011,3.9000000000000057,-4.449999999999989,7.099999999999994,-0.4000000000000057,18.799999999999997,-6.200000000000003,9.599999999999994,-6.25,14.0,24.049999999999997,14.5,DAL
WEEK13,CHI,19.0,GB,28.0,62.8,69.2,50.9,68.2,62.1,85.9,73.1,47.3,34.9,49.2,52.2,60.8,81.4,76.3,76.9,77.6,70.3,91.5,55.9,67.4,53.1,57.6,71.5,77.7,-18.60000000000001,1.7999999999999972,-23.699999999999996,-3.299999999999997,-15.600000000000001,32.800000000000004,19.999999999999993,-29.0,-38.800000000000004,-31.700000000000003,-25.049999999999997,-13.149999999999991,GB
