Game Date,Home Team,Home Spread,Away Team,Away Spread,OVR,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,OPP OVR,OPP OFF,OPP PASS,OPP PBLK,OPP RECV,OPP RUN,OPP RBLK,OPP DEF,OPP RDEF,OPP TACK,OPP PRSH,OPP COV,Overall Adv,Offense Adv,Passing Adv,Pass Block Adv,Receving Adv,Running Adv,Run Block Adv,Defense Adv,Run Defense Adv,Tackling Adv,Pass Rush Adv,Coverage Adv,Game Pick
WEEK17,KC,27.0,DEN,24.0,93.2,85.5,90.0,73.6,83.1,79.3,72.5,79.3,63.6,52.9,75.3,89.8,75.9,66.3,61.0,66.9,65.9,77.3,59.4,76.2,71.5,52.0,66.4,89.3,17.299999999999997,9.299999999999997,12.150000000000006,7.199999999999989,-6.200000000000003,7.799999999999997,1.0,13.0,-4.749999999999993,-18.699999999999996,11.349999999999994,23.39999999999999,KC
WEEK17,PHI,10.0,NO,20.0,93.7,85.0,80.7,84.9,80.4,85.9,76.5,85.9,67.9,55.9,90.1,89.2,82.3,73.9,80.9,61.7,75.8,83.1,53.0,71.7,65.6,47.4,67.0,78.1,11.400000000000006,13.299999999999997,8.150000000000006,17.900000000000006,2.3000000000000114,20.30000000000001,10.900000000000006,12.0,-0.14999999999999147,-23.54999999999999,18.799999999999983,20.450000000000003,PHI
WEEK17,GB,41.0,MIN,17.0,81.4,76.3,76.9,77.6,70.3,91.5,55.9,67.4,53.1,57.6,71.5,77.7,92.5,81.6,77.3,66.6,82.0,79.4,74.5,81.1,85.4,85.5,75.2,71.3,-11.099999999999994,-4.799999999999997,3.6500000000000057,2.3999999999999915,-1.0,6.099999999999994,-29.500000000000007,-14.199999999999989,-23.85,-23.1,-0.44999999999998863,3.4000000000000057,MIN
WEEK17,LV,34.0,SF,37.0,79.7,76.3,65.4,73.0,79.3,90.9,57.9,62.2,58.2,41.1,69.4,53.5,93.1,82.4,73.6,74.4,88.0,82.6,66.9,84.8,74.4,90.0,76.4,91.5,-13.399999999999991,-8.5,-18.549999999999997,-3.4000000000000057,-12.200000000000003,16.5,-16.500000000000007,-20.200000000000003,-16.549999999999997,-44.199999999999996,-4.599999999999994,-27.700000000000003,SF
