Game Date_picks,Home Team_picks,Away Team_picks,Game Pick,Game Key,Game Date,Home Team,Home Score,Away Score,Away Team,Home Line Close,Away Line Close,Home Odds Close,Away Odds Close,Margin,ATS Win/Loss,ML Win/Loss,Wager,ATS Payout,ML Payout,Weekly ATS Payout,Weekly ML Payout,Total Payout
WEEK9,CIN,CAR,CIN,CINCAR,WEEK9,CIN,42.00,21.00,CAR,-7.00,7.00,1.29,3.70,-21.00,1,1,100,90.00,29.00,-210.00,154.00,-56.00
WEEK9,KC,TEN,KC,KCTEN,WEEK9,KC,20.00,17.00,TEN,-14.00,14.00,1.11,6.75,-3.00,0,1,100,-100.00,11.00,-210.00,154.00,-56.00
WEEK9,WAS,MIN,MIN,WASMIN,WEEK9,WAS,17.00,20.00,MIN,3.00,-3.00,2.45,1.60,3.00,0,1,100,-100.00,60.00,-210.00,154.00,-56.00
WEEK9,CHI,MIA,MIA,CHIMIA,WEEK9,CHI,32.00,35.00,MIA,4.00,-4.00,2.65,1.54,3.00,0,1,100,-100.00,54.00,-210.00,154.00,-56.00
