Game Date_picks,Home Team_picks,Away Team_picks,Game Pick,Game Key,Game Date,Home Team,Home Score,Away Score,Away Team,Home Line Close,Away Line Close,Home Odds Close,Away Odds Close,Margin,ATS Win/Loss,ML Win/Loss,Wager,ATS Payout,ML Payout,Weekly ATS Payout,Weekly ML Payout,Total Payout
WEEK17,KC,DEN,KC,KCDEN,WEEK17,KC,27.00,24.00,DEN,-12.50,12.50,1.13,6.50,-3.00,0,1,100,-100.00,13.00,-400.00,-167.00,-567.00
WEEK17,PHI,NO,PHI,PHINO,WEEK17,PHI,10.00,20.00,NO,-5.00,5.00,1.43,2.90,10.00,0,0,100,-100.00,-100.00,-400.00,-167.00,-567.00
WEEK17,GB,MIN,MIN,GBMIN,WEEK17,GB,41.00,17.00,MIN,-3.50,3.50,1.54,2.65,-24.00,0,0,100,-100.00,-100.00,-400.00,-167.00,-567.00
WEEK17,LV,SF,SF,LVSF,WEEK17,LV,34.00,37.00,SF,10.00,-10.00,4.75,1.20,3.00,0,1,100,-100.00,20.00,-400.00,-167.00,-567.00
