Game Date_picks,Home Team_picks,Away Team_picks,Game Pick,Game Key,Game Date,Home Team,Home Score,Away Score,Away Team,Home Line Close,Away Line Close,Home Odds Close,Away Odds Close,Margin,ATS Win/Loss,ML Win/Loss,Wager,ATS Payout,ML Payout,Weekly ATS Payout,Weekly ML Payout,Total Payout
WEEK1,TEN,NYG,TEN,TENNYG,WEEK1,TEN,20.00,21.00,NYG,-5.50,5.50,1.40,3.10,1.00,0,0,100,-100.00,-100.00,-210.00,-82.00,-292.00
WEEK1,MIN,GB,MIN,MINGB,WEEK1,MIN,23.00,7.00,GB,-2.00,2.00,1.76,2.10,-16.00,1,1,100,90.00,76.00,-210.00,-82.00,-292.00
WEEK1,DET,PHI,PHI,DETPHI,WEEK1,DET,35.00,38.00,PHI,5.50,-5.50,2.95,1.42,3.00,0,1,100,-100.00,42.00,-210.00,-82.00,-292.00
WEEK1,CHI,SF,SF,CHISF,WEEK1,CHI,19.00,10.00,SF,6.50,-6.50,3.30,1.35,-9.00,0,0,100,-100.00,-100.00,-210.00,-82.00,-292.00
