Game Date_picks,Home Team_picks,Away Team_picks,Game Pick,Game Key,Game Date,Home Team,Home Score,Away Score,Away Team,Home Line Close,Away Line Close,Home Odds Close,Away Odds Close,Margin,ATS Win/Loss,ML Win/Loss,Wager,ATS Payout,ML Payout,Weekly ATS Payout,Weekly ML Payout,Total Payout
WEEK10,SF,LAC,SF,SFLAC,WEEK10,SF,22.00,16.00,LAC,-8.00,8.00,1.27,3.90,-6.00,0,1,100,-100.00,27.00,-120.00,-11.00,-131.00
WEEK10,PHI,WAS,PHI,PHIWAS,WEEK10,PHI,21.00,32.00,WAS,-11.00,11.00,1.19,5.00,11.00,0,0,100,-100.00,-100.00,-120.00,-11.00,-131.00
WEEK10,KC,JAX,KC,KCJAX,WEEK10,KC,27.00,17.00,JAX,-9.50,9.50,1.22,4.50,-10.00,1,1,100,90.00,22.00,-120.00,-11.00,-131.00
WEEK10,CAR,ATL,ATL,CARATL,WEEK10,CAR,25.00,15.00,ATL,2.50,-2.50,2.30,1.66,-10.00,0,0,100,-100.00,-100.00,-120.00,-11.00,-131.00
WEEK10,CHI,DET,DET,CHIDET,WEEK10,CHI,30.00,31.00,DET,-3.00,3.00,1.62,2.40,1.00,1,1,100,90.00,140.00,-120.00,-11.00,-131.00
