Game Date,Home Team,Home Spread,Away Team,Away Spread,OVR,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,OPP OVR,OPP OFF,OPP PASS,OPP PBLK,OPP RECV,OPP RUN,OPP RBLK,OPP DEF,OPP RDEF,OPP TACK,OPP PRSH,OPP COV,Overall Adv,Offense Adv,Passing Adv,Pass Block Adv,Receving Adv,Running Adv,Run Block Adv,Defense Adv,Run Defense Adv,Tackling Adv,Pass Rush Adv,Coverage Adv,Game Pick
WEEK4,PHI,29.0,JAX,21.0,93.7,85.0,80.7,84.9,80.4,85.9,76.5,85.9,67.9,55.9,90.1,89.2,80.6,71.8,73.8,72.8,70.5,89.4,47.0,71.8,70.3,35.7,76.5,62.2,13.100000000000009,13.200000000000003,11.350000000000009,8.400000000000006,18.200000000000003,15.600000000000009,6.200000000000003,14.100000000000009,-0.29999999999999716,-24.050000000000004,16.799999999999997,17.549999999999997,PHI
WEEK4,NO,25.0,MIN,28.0,82.3,73.9,80.9,61.7,75.8,83.1,53.0,71.7,65.6,47.4,67.0,78.1,92.5,81.6,77.3,66.6,82.0,79.4,74.5,81.1,85.4,85.5,75.2,71.3,-10.200000000000003,-7.199999999999989,7.650000000000006,-13.5,4.5,-2.3000000000000114,-32.400000000000006,-9.899999999999991,-11.350000000000009,-33.300000000000004,-4.949999999999989,3.799999999999997,MIN
WEEK4,TB,31.0,KC,41.0,77.0,71.8,75.8,75.0,72.3,63.8,53.9,67.6,57.8,53.0,64.3,80.7,93.2,85.5,90.0,73.6,83.1,79.3,72.5,79.3,63.6,52.9,75.3,89.8,-16.200000000000003,-7.5,-6.75,-0.29999999999999716,-17.5,0.19999999999999574,-9.700000000000003,-17.900000000000006,-18.10000000000001,-28.19999999999999,-17.5,2.3500000000000085,KC
