Game Date_picks,Home Team_picks,Away Team_picks,Game Pick,Game Key,Game Date,Home Team,Home Score,Away Score,Away Team,Home Line Close,Away Line Close,Home Odds Close,Away Odds Close,Margin,ATS Win/Loss,ML Win/Loss,Wager,ATS Payout,ML Payout,Weekly ATS Payout,Weekly ML Payout,Total Payout
WEEK3,MIN,DET,MIN,MINDET,WEEK3,MIN,28.00,24.00,DET,-6.50,6.50,1.37,3.20,-4.00,0,1,100,-100.00,37.00,-120.00,-30.00,-150.00
WEEK3,WAS,PHI,PHI,WASPHI,WEEK3,WAS,8.00,24.00,PHI,6.00,-6.00,3.15,1.38,16.00,1,1,100,90.00,38.00,-120.00,-30.00,-150.00
WEEK3,NYG,DAL,DAL,NYGDAL,WEEK3,NYG,16.00,23.00,DAL,-1.00,1.00,1.86,1.95,7.00,1,1,100,90.00,95.00,-120.00,-30.00,-150.00
WEEK3,DEN,SF,SF,DENSF,WEEK3,DEN,11.00,10.00,SF,1.50,-1.50,2.00,1.83,-1.00,0,0,100,-100.00,-100.00,-120.00,-30.00,-150.00
WEEK3,IND,KC,KC,INDKC,WEEK3,IND,20.00,17.00,KC,5.00,-5.00,2.90,1.43,-3.00,0,0,100,-100.00,-100.00,-120.00,-30.00,-150.00
