Game Date_picks,Home Team_picks,Away Team_picks,Game Pick,Game Key,Game Date,Home Team,Home Score,Away Score,Away Team,Home Line Close,Away Line Close,Home Odds Close,Away Odds Close,Margin,ATS Win/Loss,ML Win/Loss,Wager,ATS Payout,ML Payout,Weekly ATS Payout,Weekly ML Payout,Total Payout
WEEK14,SF,TB,SF,SFTB,WEEK14,SF,35.00,7.00,TB,-3.50,3.50,1.56,2.60,-28.00,1,1,100,90.00,56.00,-20.00,5.00,-15.00
WEEK14,DET,MIN,MIN,DETMIN,WEEK14,DET,34.00,23.00,MIN,-2.00,2.00,1.80,2.05,-11.00,0,0,100,-100.00,-100.00,-20.00,5.00,-15.00
WEEK14,DEN,KC,KC,DENKC,WEEK14,DEN,28.00,34.00,KC,9.00,-9.00,4.75,1.20,6.00,0,1,100,-100.00,20.00,-20.00,5.00,-15.00
WEEK14,NYG,PHI,PHI,NYGPHI,WEEK14,NYG,22.00,48.00,PHI,7.00,-7.00,3.70,1.29,26.00,1,1,100,90.00,29.00,-20.00,5.00,-15.00
