Game Date,Home Team,Home Spread,Away Team,Away Spread,OVR,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,OPP OVR,OPP OFF,OPP PASS,OPP PBLK,OPP RECV,OPP RUN,OPP RBLK,OPP DEF,OPP RDEF,OPP TACK,OPP PRSH,OPP COV,Overall Adv,Offense Adv,Passing Adv,Pass Block Adv,Receving Adv,Running Adv,Run Block Adv,Defense Adv,Run Defense Adv,Tackling Adv,Pass Rush Adv,Coverage Adv,Game Pick
WEEK1,TEN,20.0,NYG,21.0,79.9,69.5,64.7,52.4,69.5,90.3,62.3,75.4,82.0,55.4,71.8,70.1,68.6,69.8,65.7,62.0,68.4,90.0,60.9,54.5,41.7,71.7,68.8,53.3,11.300000000000011,15.0,3.6500000000000057,-16.4,16.200000000000003,48.599999999999994,20.599999999999994,5.6000000000000085,6.549999999999997,-23.800000000000004,7.949999999999996,4.8999999999999915,TEN
WEEK1,MIN,23.0,GB,7.0,92.5,81.6,77.3,66.6,82.0,79.4,74.5,81.1,85.4,85.5,75.2,71.3,81.4,76.3,76.9,77.6,70.3,91.5,55.9,67.4,53.1,57.6,71.5,77.7,11.099999999999994,14.199999999999989,2.700000000000003,-4.900000000000006,4.299999999999997,26.300000000000004,21.4,4.799999999999997,11.700000000000003,4.599999999999994,-2.049999999999997,-2.6499999999999915,MIN
WEEK1,DET,35.0,PHI,38.0,81.0,79.0,71.7,63.4,80.9,84.2,68.8,60.4,55.5,62.8,71.2,48.8,93.7,85.0,80.7,84.9,80.4,85.9,76.5,85.9,67.9,55.9,90.1,89.2,-12.700000000000003,-6.900000000000006,-17.950000000000003,-26.699999999999996,-8.299999999999997,16.299999999999997,0.8999999999999915,-24.6,-25.700000000000003,-20.35000000000001,-11.600000000000009,-33.85000000000001,PHI
WEEK1,CHI,19.0,SF,10.0,62.8,69.2,50.9,68.2,62.1,85.9,73.1,47.3,34.9,49.2,52.2,60.8,93.1,82.4,73.6,74.4,88.0,82.6,66.9,84.8,74.4,90.0,76.4,91.5,-30.299999999999997,-15.599999999999994,-33.050000000000004,-8.200000000000003,-29.4,11.5,-1.3000000000000114,-35.10000000000001,-39.85,-36.099999999999994,-21.799999999999997,-20.400000000000006,SF
