Game Date_picks,Home Team_picks,Away Team_picks,Game Pick,Game Key,Game Date,Home Team,Home Score,Away Score,Away Team,Home Line Close,Away Line Close,Home Odds Close,Away Odds Close,Margin,ATS Win/Loss,ML Win/Loss,Wager,ATS Payout,ML Payout,Weekly ATS Payout,Weekly ML Payout,Total Payout
WEEK7,NE,CHI,NE,NECHI,WEEK7,NE,14.00,33.00,CHI,-8.50,8.50,1.25,4.20,19.00,0,0,100,-100.00,-100.00,-200.00,-200.00,-400.00
WEEK7,JAX,NYG,JAX,JAXNYG,WEEK7,JAX,17.00,23.00,NYG,-3.00,3.00,1.60,2.45,6.00,0,0,100,-100.00,-100.00,-200.00,-200.00,-400.00
