Game Date_picks,Home Team_picks,Away Team_picks,Game Pick,Game Key,Game Date,Home Team,Home Score,Away Score,Away Team,Home Line Close,Away Line Close,Home Odds Close,Away Odds Close,Margin,ATS Win/Loss,ML Win/Loss,Wager,ATS Payout,ML Payout,Weekly ATS Payout,Weekly ML Payout,Total Payout
WEEK12,DAL,NYG,DAL,DALNYG,WEEK12,DAL,28.00,20.00,NYG,-10.00,10.00,1.20,4.75,-8.00,0,1,100,-100.00,20.00,260.00,173.00,433.00
WEEK12,NYJ,CHI,NYJ,NYJCHI,WEEK12,NYJ,31.00,10.00,CHI,-7.50,7.50,1.27,3.80,-21.00,1,1,100,90.00,27.00,260.00,173.00,433.00
WEEK12,PHI,GB,PHI,PHIGB,WEEK12,PHI,40.00,33.00,GB,-6.50,6.50,1.35,3.30,-7.00,1,1,100,90.00,35.00,260.00,173.00,433.00
WEEK12,MIN,NE,MIN,MINNE,WEEK12,MIN,33.00,26.00,NE,-2.50,2.50,1.68,2.25,-7.00,1,1,100,90.00,68.00,260.00,173.00,433.00
WEEK12,SF,NO,SF,SFNO,WEEK12,SF,13.00,0.00,NO,-8.50,8.50,1.23,4.25,-13.00,1,1,100,90.00,23.00,260.00,173.00,433.00
