Game Date,Home Team,Home Spread,Away Team,Away Spread,OVR,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,OPP OVR,OPP OFF,OPP PASS,OPP PBLK,OPP RECV,OPP RUN,OPP RBLK,OPP DEF,OPP RDEF,OPP TACK,OPP PRSH,OPP COV,Overall Adv,Offense Adv,Passing Adv,Pass Block Adv,Receving Adv,Running Adv,Run Block Adv,Defense Adv,Run Defense Adv,Tackling Adv,Pass Rush Adv,Coverage Adv,Game Pick
WEEK15,MIN,39.0,IND,36.0,92.5,81.6,77.3,66.6,82.0,79.4,74.5,81.1,85.4,85.5,75.2,71.3,74.1,65.5,58.0,62.9,66.5,71.9,62.0,71.3,69.2,68.8,62.5,76.2,18.400000000000006,10.299999999999997,7.950000000000003,4.099999999999994,5.799999999999997,10.200000000000003,5.299999999999997,15.599999999999994,18.450000000000003,16.299999999999997,14.75,6.599999999999994,MIN
WEEK15,TB,23.0,CIN,34.0,77.0,71.8,75.8,75.0,72.3,63.8,53.9,67.6,57.8,53.0,64.3,80.7,88.6,80.2,91.1,56.1,80.5,87.4,56.1,75.8,65.6,81.0,70.8,84.3,-11.599999999999994,-4.0,-1.75,4.200000000000003,-12.0,-1.7999999999999972,-11.699999999999996,-12.600000000000009,-13.950000000000003,-30.950000000000003,-9.299999999999997,12.400000000000006,CIN
WEEK15,SEA,13.0,SF,21.0,80.8,75.9,74.1,64.2,77.7,90.0,57.8,64.7,62.0,45.0,65.1,63.5,93.1,82.4,73.6,74.4,88.0,82.6,66.9,84.8,74.4,90.0,76.4,91.5,-12.299999999999997,-8.899999999999991,-9.850000000000009,-12.200000000000003,-13.799999999999997,15.599999999999994,-16.60000000000001,-17.700000000000003,-12.75,-40.3,-8.900000000000006,-17.700000000000003,SF
WEEK15,CHI,20.0,PHI,25.0,62.8,69.2,50.9,68.2,62.1,85.9,73.1,47.3,34.9,49.2,52.2,60.8,93.7,85.0,80.7,84.9,80.4,85.9,76.5,85.9,67.9,55.9,90.1,89.2,-30.900000000000006,-16.700000000000003,-38.75000000000001,-21.89999999999999,-27.1,18.0,5.199999999999989,-37.7,-46.300000000000004,-33.95,-30.60000000000001,-21.85000000000001,PHI
