Game Date,Home Team,Home Spread,Away Team,Away Spread,OVR,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,OPP OVR,OPP OFF,OPP PASS,OPP PBLK,OPP RECV,OPP RUN,OPP RBLK,OPP DEF,OPP RDEF,OPP TACK,OPP PRSH,OPP COV,Overall Adv,Offense Adv,Passing Adv,Pass Block Adv,Receving Adv,Running Adv,Run Block Adv,Defense Adv,Run Defense Adv,Tackling Adv,Pass Rush Adv,Coverage Adv,Game Pick
WEEK12,DAL,28.0,NYG,20.0,85.4,75.2,64.9,69.6,75.8,88.0,63.0,75.1,60.7,83.2,84.5,79.2,68.6,69.8,65.7,62.0,68.4,90.0,60.9,54.5,41.7,71.7,68.8,53.3,16.80000000000001,20.700000000000003,3.8500000000000085,0.7999999999999972,22.5,46.3,21.299999999999997,5.299999999999997,-14.75,4.0,20.65,14.0,DAL
WEEK12,NYJ,31.0,CHI,10.0,79.1,62.9,47.6,59.2,71.4,77.2,52.0,85.3,74.0,51.0,81.6,89.7,62.8,69.2,50.9,68.2,62.1,85.9,73.1,47.3,34.9,49.2,52.2,60.8,16.299999999999997,15.600000000000001,-8.899999999999999,7.0,10.600000000000009,42.300000000000004,17.1,16.099999999999994,-5.5,-23.0,22.049999999999997,24.549999999999997,NYJ
WEEK12,PHI,40.0,GB,33.0,93.7,85.0,80.7,84.9,80.4,85.9,76.5,85.9,67.9,55.9,90.1,89.2,81.4,76.3,76.9,77.6,70.3,91.5,55.9,67.4,53.1,57.6,71.5,77.7,12.299999999999997,17.599999999999994,6.1000000000000085,13.400000000000006,2.700000000000003,32.800000000000004,23.4,9.600000000000009,-5.799999999999997,-25.000000000000007,12.849999999999994,15.250000000000014,PHI
WEEK12,MIN,33.0,NE,26.0,92.5,81.6,77.3,66.6,82.0,79.4,74.5,81.1,85.4,85.5,75.2,71.3,81.2,72.0,71.2,72.5,71.6,81.5,56.7,75.8,71.7,87.1,73.5,75.0,11.299999999999997,5.799999999999997,3.049999999999997,-6.900000000000006,7.0,7.700000000000003,2.799999999999997,9.099999999999994,16.30000000000001,8.950000000000003,3.3500000000000085,-0.75,MIN
WEEK12,SF,13.0,NO,0.0,93.1,82.4,73.6,74.4,88.0,82.6,66.9,84.8,74.4,90.0,76.4,91.5,82.3,73.9,80.9,61.7,75.8,83.1,53.0,71.7,65.6,47.4,67.0,78.1,10.799999999999997,10.700000000000003,1.0499999999999972,7.400000000000006,9.900000000000006,17.0,1.3000000000000114,10.899999999999991,6.3500000000000085,10.550000000000011,5.099999999999994,22.75,SF
