Game Date,Home Team,Home Spread,Away Team,Away Spread,OVR,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,OPP OVR,OPP OFF,OPP PASS,OPP PBLK,OPP RECV,OPP RUN,OPP RBLK,OPP DEF,OPP RDEF,OPP TACK,OPP PRSH,OPP COV,Overall Adv,Offense Adv,Passing Adv,Pass Block Adv,Receving Adv,Running Adv,Run Block Adv,Defense Adv,Run Defense Adv,Tackling Adv,Pass Rush Adv,Coverage Adv,Game Pick
WEEK11,NYG,18.0,DET,31.0,68.6,69.8,65.7,62.0,68.4,90.0,60.9,54.5,41.7,71.7,68.8,53.3,81.0,79.0,71.7,63.4,80.9,84.2,68.8,60.4,55.5,62.8,71.2,48.8,-12.400000000000006,9.399999999999999,5.700000000000003,-9.200000000000003,19.60000000000001,34.5,5.399999999999999,-24.5,-34.8,-10.850000000000009,1.25,-18.85000000000001,DET
WEEK11,LAC,27.0,KC,30.0,76.3,72.3,75.7,67.0,76.3,77.2,45.7,62.8,36.5,45.7,68.2,86.7,93.2,85.5,90.0,73.6,83.1,79.3,72.5,79.3,63.6,52.9,75.3,89.8,-16.900000000000006,-7.0,-6.849999999999994,-8.299999999999997,-13.5,13.600000000000001,-17.9,-22.700000000000003,-39.400000000000006,-35.499999999999986,-13.599999999999994,8.350000000000009,KC
WEEK11,IND,16.0,PHI,17.0,74.1,65.5,58.0,62.9,66.5,71.9,62.0,71.3,69.2,68.8,62.5,76.2,93.7,85.0,80.7,84.9,80.4,85.9,76.5,85.9,67.9,55.9,90.1,89.2,-19.60000000000001,-20.400000000000006,-31.650000000000006,-27.199999999999996,-22.700000000000003,4.0,-5.900000000000006,-13.700000000000003,-12.0,-14.350000000000009,-20.30000000000001,-6.450000000000003,PHI
