Game Date_picks,Home Team_picks,Away Team_picks,Game Pick,Game Key,Game Date,Home Team,Home Score,Away Score,Away Team,Home Line Close,Away Line Close,Home Odds Close,Away Odds Close,Margin,ATS Win/Loss,ML Win/Loss,Wager,ATS Payout,ML Payout,Weekly ATS Payout,Weekly ML Payout,Total Payout
WEEK15,MIN,IND,MIN,MININD,WEEK15,MIN,39.00,36.00,IND,-3.50,3.50,1.50,2.70,-3.00,0,1,100,-100.00,50.00,-20.00,188.00,168.00
WEEK15,TB,CIN,CIN,TBCIN,WEEK15,TB,23.00,34.00,CIN,3.50,-3.50,2.60,1.56,11.00,1,1,100,90.00,56.00,-20.00,188.00,168.00
WEEK15,SEA,SF,SF,SEASF,WEEK15,SEA,13.00,21.00,SF,3.00,-3.00,2.60,1.56,8.00,1,1,100,90.00,56.00,-20.00,188.00,168.00
WEEK15,CHI,PHI,PHI,CHIPHI,WEEK15,CHI,20.00,25.00,PHI,8.50,-8.50,4.10,1.26,5.00,0,1,100,-100.00,26.00,-20.00,188.00,168.00
