Game Date_picks,Home Team_picks,Away Team_picks,Game Pick,Game Key,Game Date,Home Team,Home Score,Away Score,Away Team,Home Line Close,Away Line Close,Home Odds Close,Away Odds Close,Margin,ATS Win/Loss,ML Win/Loss,Wager,ATS Payout,ML Payout,Weekly ATS Payout,Weekly ML Payout,Total Payout
WEEK4,PHI,JAX,PHI,PHIJAX,WEEK4,PHI,29.00,21.00,JAX,-6.50,6.50,1.34,3.35,-8.00,1,1,100,90.00,34.00,80.00,191.00,271.00
WEEK4,NO,MIN,MIN,NOMIN,WEEK4,NO,25.00,28.00,MIN,4.00,-4.00,2.75,1.47,3.00,0,1,100,-100.00,47.00,80.00,191.00,271.00
WEEK4,TB,KC,KC,TBKC,WEEK4,TB,31.00,41.00,KC,-1.50,1.50,1.76,2.10,10.00,1,1,100,90.00,110.00,80.00,191.00,271.00
