Game Date,Home Team,Home Spread,Away Team,Away Spread,OVR,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,OPP OVR,OPP OFF,OPP PASS,OPP PBLK,OPP RECV,OPP RUN,OPP RBLK,OPP DEF,OPP RDEF,OPP TACK,OPP PRSH,OPP COV,Overall Adv,Offense Adv,Passing Adv,Pass Block Adv,Receving Adv,Running Adv,Run Block Adv,Defense Adv,Run Defense Adv,Tackling Adv,Pass Rush Adv,Coverage Adv,Game Pick
WEEK9,CIN,42.0,CAR,21.0,88.6,80.2,91.1,56.1,80.5,87.4,56.1,75.8,65.6,81.0,70.8,84.3,72.9,67.7,58.3,72.8,67.8,83.6,56.0,65.6,68.7,47.8,68.2,54.2,15.699999999999989,14.600000000000009,29.89999999999999,-12.100000000000001,26.299999999999997,18.700000000000003,-12.600000000000001,8.099999999999994,-4.200000000000003,5.300000000000011,5.25,14.0,CIN
WEEK9,KC,20.0,TEN,17.0,93.2,85.5,90.0,73.6,83.1,79.3,72.5,79.3,63.6,52.9,75.3,89.8,79.9,69.5,64.7,52.4,69.5,90.3,62.3,75.4,82.0,55.4,71.8,70.1,13.299999999999997,10.099999999999994,19.05000000000001,1.7999999999999972,13.0,-2.700000000000003,-9.5,9.799999999999997,-12.699999999999996,-27.000000000000007,16.75,28.849999999999994,KC
WEEK9,WAS,17.0,MIN,20.0,77.0,67.6,53.4,61.7,75.1,77.2,55.6,73.8,60.1,68.0,71.9,83.1,92.5,81.6,77.3,66.6,82.0,79.4,74.5,81.1,85.4,85.5,75.2,71.3,-15.5,-13.5,-19.85,-13.5,3.799999999999997,-8.200000000000003,-29.800000000000004,-7.799999999999997,-16.85,-12.700000000000003,-0.04999999999998295,8.799999999999997,MIN
WEEK9,CHI,32.0,MIA,35.0,62.8,69.2,50.9,68.2,62.1,85.9,73.1,47.3,34.9,49.2,52.2,60.8,84.9,79.0,77.3,59.3,83.0,76.4,69.9,71.7,75.9,47.0,80.4,52.5,-22.10000000000001,-2.5,-15.550000000000004,-12.200000000000003,9.600000000000001,10.0,-2.8000000000000114,-31.700000000000003,-38.25000000000001,-30.5,-16.099999999999994,-10.350000000000009,MIA
