Game Date,Home Team,Home Spread,Away Team,Away Spread,OVR,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,OPP OVR,OPP OFF,OPP PASS,OPP PBLK,OPP RECV,OPP RUN,OPP RBLK,OPP DEF,OPP RDEF,OPP TACK,OPP PRSH,OPP COV,Overall Adv,Offense Adv,Passing Adv,Pass Block Adv,Receving Adv,Running Adv,Run Block Adv,Defense Adv,Run Defense Adv,Tackling Adv,Pass Rush Adv,Coverage Adv,Game Pick
WEEK10,SF,22.0,LAC,16.0,93.1,82.4,73.6,74.4,88.0,82.6,66.9,84.8,74.4,90.0,76.4,91.5,76.3,72.3,75.7,67.0,76.3,77.2,45.7,62.8,36.5,45.7,68.2,86.7,16.799999999999997,19.60000000000001,-3.8500000000000085,6.200000000000003,1.2999999999999972,46.099999999999994,30.400000000000006,12.5,12.950000000000003,13.25,5.050000000000011,19.849999999999994,SF
WEEK10,PHI,21.0,WAS,32.0,93.7,85.0,80.7,84.9,80.4,85.9,76.5,85.9,67.9,55.9,90.1,89.2,77.0,67.6,53.4,61.7,75.1,77.2,55.6,73.8,60.1,68.0,71.9,83.1,16.700000000000003,11.200000000000003,3.200000000000003,13.0,-2.6999999999999886,25.800000000000004,16.4,18.30000000000001,1.5,-20.250000000000007,32.55,20.799999999999997,PHI
WEEK10,KC,27.0,JAX,17.0,93.2,85.5,90.0,73.6,83.1,79.3,72.5,79.3,63.6,52.9,75.3,89.8,80.6,71.8,73.8,72.8,70.5,89.4,47.0,71.8,70.3,35.7,76.5,62.2,12.600000000000009,13.700000000000003,20.650000000000006,-2.9000000000000057,20.89999999999999,9.0,2.200000000000003,7.5,-4.600000000000001,-27.050000000000004,2.0,18.14999999999999,KC
WEEK10,CAR,25.0,ATL,15.0,72.9,67.7,58.3,72.8,67.8,83.6,56.0,65.6,68.7,47.8,68.2,54.2,85.7,83.7,62.1,73.2,79.7,90.6,83.7,60.5,63.8,52.5,54.1,57.7,-12.799999999999997,7.200000000000003,2.3999999999999915,18.699999999999996,10.099999999999994,19.799999999999997,-7.799999999999997,-18.10000000000001,-18.450000000000003,-37.35000000000001,0.5499999999999972,-22.25,ATL
WEEK10,CHI,30.0,DET,31.0,62.8,69.2,50.9,68.2,62.1,85.9,73.1,47.3,34.9,49.2,52.2,60.8,81.0,79.0,71.7,63.4,80.9,84.2,68.8,60.4,55.5,62.8,71.2,48.8,-18.200000000000003,8.800000000000004,-9.100000000000001,-3.0,13.300000000000004,30.400000000000006,17.599999999999994,-31.700000000000003,-41.6,-33.35000000000001,-15.349999999999994,-11.350000000000009,DET
