Game Date_picks,Home Team_picks,Away Team_picks,Game Pick,Game Key,Game Date,Home Team,Home Score,Away Score,Away Team,Home Line Close,Away Line Close,Home Odds Close,Away Odds Close,Margin,ATS Win/Loss,ML Win/Loss,Wager,ATS Payout,ML Payout,Weekly ATS Payout,Weekly ML Payout,Total Payout
WEEK13,PHI,TEN,PHI,PHITEN,WEEK13,PHI,35.00,10.00,TEN,-4.50,4.50,1.45,2.80,-25.00,1,1,100,90.00,45.00,360.00,181.00,541.00
WEEK13,MIN,NYJ,MIN,MINNYJ,WEEK13,MIN,27.00,22.00,NYJ,-3.00,3.00,1.64,2.35,-5.00,1,1,100,90.00,64.00,360.00,181.00,541.00
WEEK13,DAL,IND,DAL,DALIND,WEEK13,DAL,54.00,19.00,IND,-11.00,11.00,1.18,5.25,-35.00,1,1,100,90.00,18.00,360.00,181.00,541.00
WEEK13,CHI,GB,GB,CHIGB,WEEK13,CHI,19.00,28.00,GB,3.50,-3.50,2.65,1.54,9.00,1,1,100,90.00,54.00,360.00,181.00,541.00
