Game Date,Home Team,Home Spread,Away Team,Away Spread,OVR,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,OPP OVR,OPP OFF,OPP PASS,OPP PBLK,OPP RECV,OPP RUN,OPP RBLK,OPP DEF,OPP RDEF,OPP TACK,OPP PRSH,OPP COV,Overall Adv,Offense Adv,Passing Adv,Pass Block Adv,Receving Adv,Running Adv,Run Block Adv,Defense Adv,Run Defense Adv,Tackling Adv,Pass Rush Adv,Coverage Adv,Game Pick
WEEK16,MIN,27.0,NYG,24.0,92.5,81.6,77.3,66.6,82.0,79.4,74.5,81.1,85.4,85.5,75.2,71.3,68.6,69.8,65.7,62.0,68.4,90.0,60.9,54.5,41.7,71.7,68.8,53.3,23.900000000000006,27.099999999999994,16.25,-2.200000000000003,28.700000000000003,37.7,32.8,11.299999999999997,9.950000000000003,6.299999999999997,11.350000000000001,6.099999999999994,MIN
WEEK16,SF,37.0,WAS,20.0,93.1,82.4,73.6,74.4,88.0,82.6,66.9,84.8,74.4,90.0,76.4,91.5,77.0,67.6,53.4,61.7,75.1,77.2,55.6,73.8,60.1,68.0,71.9,83.1,16.099999999999994,8.600000000000009,-3.9000000000000057,2.5,4.900000000000006,22.499999999999993,6.800000000000004,17.200000000000003,8.0,13.849999999999994,18.85000000000001,23.099999999999994,SF
WEEK16,KC,24.0,SEA,10.0,93.2,85.5,90.0,73.6,83.1,79.3,72.5,79.3,63.6,52.9,75.3,89.8,80.8,75.9,74.1,64.2,77.7,90.0,57.8,64.7,62.0,45.0,65.1,63.5,12.400000000000006,20.799999999999997,25.700000000000003,8.5,19.599999999999994,17.299999999999997,10.5,3.3999999999999915,-10.300000000000004,-30.949999999999996,6.1499999999999915,18.849999999999994,KC
WEEK16,CHI,13.0,BUF,35.0,62.8,69.2,50.9,68.2,62.1,85.9,73.1,47.3,34.9,49.2,52.2,60.8,86.6,78.8,84.1,64.1,77.7,91.8,50.7,72.1,54.4,40.8,78.8,80.1,-23.799999999999997,-2.8999999999999915,-28.54999999999999,-10.599999999999994,-17.999999999999993,31.500000000000007,18.699999999999996,-31.5,-36.35,-35.55,-21.89999999999999,-10.100000000000009,BUF
