Game Date_picks,Home Team_picks,Away Team_picks,Game Pick,Game Key,Game Date,Home Team,Home Score,Away Score,Away Team,Home Line Close,Away Line Close,Home Odds Close,Away Odds Close,Margin,ATS Win/Loss,ML Win/Loss,Wager,ATS Payout,ML Payout,Weekly ATS Payout,Weekly ML Payout,Total Payout
WEEK16,MIN,NYG,MIN,MINNYG,WEEK16,MIN,27.00,24.00,NYG,-4.50,4.50,1.45,2.80,-3.00,0,1,100,-100.00,45.00,170.00,121.00,291.00
WEEK16,SF,WAS,SF,SFWAS,WEEK16,SF,37.00,20.00,WAS,-6.50,6.50,1.32,3.50,-17.00,1,1,100,90.00,32.00,170.00,121.00,291.00
WEEK16,KC,SEA,KC,KCSEA,WEEK16,KC,24.00,10.00,SEA,-10.00,10.00,1.20,4.75,-14.00,1,1,100,90.00,20.00,170.00,121.00,291.00
WEEK16,CHI,BUF,BUF,CHIBUF,WEEK16,CHI,13.00,35.00,BUF,8.00,-8.00,4.25,1.24,22.00,1,1,100,90.00,24.00,170.00,121.00,291.00
